"","bigram","n"
"1","acinetobact_baumannii",160
"2","aeruginosa_isol",66
"3","aureu_isol",126
"4","bacillu_anthraci",41
"5","baumannii_isol",70
"6","chlamydia_trachomati",44
"7","cholera_isol",72
"8","clostridium_difficil",63
"9","coli_isol",163
"10","coronaviru_mer",44
"11","coronaviru_sar",76
"12","cov_infect",44
"13","dengu_viru",154
"14","east_respiratori",59
"15","ebola_viru",52
"16","enceph_viru",60
"17","enterococcu_faecium",102
"18","escherichia_coli",685
"19","fever_viru",348
"20","hbv_infect",193
"21","helicobact_pylori",113
"22","hemorrhag_fever",109
"23","herp_simplex",42
"24","hev_infect",53
"25","hiv_infect",203
"26","hpv_infect",75
"27","human_immunodefici",271
"28","human_papillomaviru",199
"29","human_rotaviru",52
"30","immunodefici_viru",300
"31","influenza_viru",505
"32","influenza_virus",398
"33","klebsiella_pneumonia",226
"34","legionella_pneumophila",46
"35","listeria_monocytogen",65
"36","mer_cov",52
"37","middl_east",103
"38","mrsa_isol",169
"39","mycobacterium_tuberculosi",617
"40","neisseria_meningitidi",88
"41","nile_viru",90
"42","papillomaviru_hpv",110
"43","porcin_epidem",98
"44","porcin_reproduct",77
"45","produc_escherichia",138
"46","produc_klebsiella",57
"47","pseudomona_aeruginosa",153
"48","respiratori_syndrom",279
"49","salmonella_enterica",252
"50","salmonella_typhimurium",45
"51","sar_coronaviru",80
"52","sar_cov",119
"53","staphylococcu_aureu",550
"54","syndrom_coronaviru",79
"55","tuberculosi_isol",187
"56","vibrio_cholera",323
"57","vibrio_parahaemolyticu",67
"58","viral_hepat",48
"59","viru_denv",44
"60","viru_hav",51
"61","viru_hbv",306
"62","viru_hcv",270
"63","viru_hev",99
"64","viru_pedv",87
"65","west_nile",95
"66","yersinia_pesti",87
"67","zika_viru",45
